time,latitude,longitude,altitude,speed,yaw,pitch,roll,yaw_rate,pitch_rate,roll_rate
19.6,32.0849079800,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.7,32.0847289391,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.8,32.0845498982,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.9,32.0843708572,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.0,32.0841918163,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.1,32.0840127754,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.2,32.0838337345,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.3,32.0836546936,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.4,32.0834756527,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.5,32.0832966117,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.6,32.0831175708,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.7,32.0829385299,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.8,32.0827594890,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.9,32.0825804481,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.0,32.0824014071,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.1,32.0822223662,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.2,32.0820433253,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.3,32.0818642844,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.4,32.0816852435,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.5,32.0815062026,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.6,32.0813271616,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.7,32.0811481207,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.8,32.0809690798,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.9,32.0807900389,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.0,32.0806109980,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.1,32.0804319570,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.2,32.0802529161,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.3,32.0800738752,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.4,32.0798948343,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.5,32.0797157934,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.6,32.0795367525,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.7,32.0793577115,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.8,32.0791786706,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22.9,32.0789996297,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23.0,32.0788205888,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23.1,32.0786415479,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23.2,32.0784625069,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23.3,32.0782834660,126.0000000000,300.007,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
